name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
TB Sinar Jaya Salihara,"Jl. Salihara No.6a 3, RT.3/RW.1, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",,0878-8709-3709,19.0,4.5,-6.3070587,106.7009406
TB Bangun Jaya,"Jl. H. Amil No.25, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,0888-8181-311,133.0,4.6,-6.3070587,106.7009406
Jaya Murni,"Jl. Raya Pasar Minggu No.9A, RT.6/RW.1, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 7806518,66.0,4.4,-6.3070587,106.7009406
TB Raja Bangunan,"Jl. Bangka IX C No.92 9, RT.12/RW.5, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720",desty.page,0815-1071-6809,493.0,4.5,-6.3070587,106.7009406
TB. Murah Jaya,"Jl. Duren Tiga Selatan No.RT.13, RT.15/RW.2, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",,0857-7832-1125,70.0,4.5,-6.3070587,106.7009406
Toko Bangunan Persada (Bangka),"Jl.bangka Raya no.1 Perapatan Bangka 7 Dan 8, Dekat Kemang, RT.8/RW.7, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720",,0811-1995-519,158.0,4.5,-6.3070587,106.7009406
Tb. Surya Jaya,"Jl. Holtikultura Jl. Jati Raya No.47 15, RT.15/RW.6, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 78830281,18.0,4.3,-6.3070587,106.7009406
Tb. Cahaya Abadi,"Jl. Gaharu I No.46, RT.9/RW.4, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410",,(021) 7694940,86.0,4.5,-6.3070587,106.7009406
Toko Sinar Bangunan II,"Jl. Cilandak Tengah Raya No.16 7, RT.7/RW.1, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430",,(021) 75904448,97.0,4.5,-6.3070587,106.7009406
Bangunan Baru - Toko Keramik & Sanitary,"Jl. Panglima Polim No.48, Pulo, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310",,(021) 7251233,170.0,4.5,-6.3070587,106.7009406
TB. Makmur Abadi,"Jl. Raya Inpres No.5 7, RT.2/RW.3, Kp. Tengah, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540",,(021) 80882060,110.0,4.7,-6.3070587,106.7009406
Karya Jaya,"Jl. Ampera Raya No.4, RT.2/RW.2, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560",,0818-149-060,111.0,4.8,-6.3070587,106.7009406
TB Mitra Jaya,"Jl. Duren Tiga Raya No.4, RT.1/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 79191128,28.0,4.3,-6.3070587,106.7009406
Sari Murni Toko,"Jl. Raya Pasar Minggu No.73, RT.10/RW.8, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,0819-1806-9347,2.0,3.0,-6.3070587,106.7009406
