name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,map_url
DNEVEN Spiku CW,"Ciputra World, Gn. Sari, Kec. Dukuhpakis, Surabaya, Jawa Timur 60224",dnevensurabaya.com,0812-3410-9001,1352,4.9,-7.3230681,112.6365341,"https://www.google.com/maps/place/DNEVEN+Spiku+CW/@-7.3230681,112.6365341,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fbb365977e43:0x4054f961d5e63287!8m2!3d-7.2936339!4d112.7193093!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F11dyyzvxtt?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Brownies dan Bolen Afiyan cake and cookies Surabaya,"Jl. Tambak Wedi Baru VB/3, Tambak Wedi, Kec. Kenjeran, Surabaya, Jawa Timur 60126",,0856-4858-4485,83,4.9,-7.3230681,112.6365341,"https://www.google.com/maps/place/Brownies+dan+Bolen+Afiyan+cake+and+cookies+Surabaya/@-7.3230681,112.6365341,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7f90da1867c5f:0x788b0beac3aa6f2d!8m2!3d-7.214595!4d112.7754509!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F11q94_7yxt?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Surabaya Roll Cake,"Jl. Ahmad Yani No.243, Siwalankerto, Kec. Wonocolo, Surabaya, Jawa Timur 60234",surabayarollcake.com,0818-419-088,104,4.9,-7.3230681,112.6365341,"https://www.google.com/maps/place/Surabaya+Roll+Cake/@-7.3230681,112.6365341,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fbf60c220997:0x9b01a0531dcc0781!8m2!3d-7.336219!4d112.7297892!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F11gmv2v3jb?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Komugi Boulangerie,"Jl. Manyar Kertoarjo No.52, Manyar Sabrangan, Kec. Mulyorejo, Surabaya, Jawa Timur 60116",komugi.co,(031) 5991288,1362,4.7,-7.3230681,112.6365341,"https://www.google.com/maps/place/Komugi+Boulangerie/@-7.3230681,112.6365341,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fa33e2cc59a9:0x133228724d4c7b06!8m2!3d-7.2803346!4d112.7667206!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1tr6ppyz?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Holland Bakery - Jemursari,"Jl. Raya Jemursari No.76, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237",hollandbakery.co.id,0878-9562-7555,1131,4.5,-7.3230681,112.6365341,"https://www.google.com/maps/place/Holland+Bakery+-+Jemursari/@-7.3230681,112.6365341,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fb6ad92a872f:0xa2a691222841ed9b!8m2!3d-7.3231829!4d112.7425448!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1v_swr92?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Corica Pastries Biliton,"Jl. Biliton No.40A, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281",coricapastries.co.id,(031) 99441098,1248,4.6,-7.3230681,112.6365341,"https://www.google.com/maps/place/Corica+Pastries+Biliton/@-7.3230681,112.6365341,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fbdac8d42b01:0x5f843472f513c9ba!8m2!3d-7.2763638!4d112.7491159!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F11cncmbwkf?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Custom Cake Surabaya Birthday Tart & Workshop,"Jl. Kalisari Dharma I No.21, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112",,0813-3156-7858,106,3.3,-7.3230681,112.6365341,"https://www.google.com/maps/place/Custom+Cake+Surabaya+Birthday+Tart+%26+Workshop/@-7.3230681,112.6365341,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fa60a7bb2975:0x35106b6df0e147d8!8m2!3d-7.2684575!4d112.8037035!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F11c605hjmr?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Freshone Bakery,"Jl. Diponegoro No..152, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264",instagram.com,0823-3365-9566,601,4.5,-7.3230681,112.6365341,"https://www.google.com/maps/place/Freshone+Bakery/@-7.3230681,112.6365341,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fbeec6a8b2c3:0x7fc6673ce1953b02!8m2!3d-7.281025!4d112.732015!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F11b6jkb6rm?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Sarah Bakery | Oleh-Oleh Bolu Hampers Snack Box Hajatan Surabaya,"Jl. Raya Menganti Jl. Dukuh Karangan VI No.20, Babatan, Kec. Wiyung, Surabaya, Jawa Timur 60227",sarahbakery.my.id,0822-3433-0420,147,5.0,-7.309151,112.5382287,"https://www.google.com/maps/place/Sarah+Bakery+%7C+Oleh-Oleh+Bolu+Hampers+Snack+Box+Hajatan+Surabaya/@-7.309151,112.5382287,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fd22a3a9f1ed:0x14af97f699fba5d0!8m2!3d-7.309151!4d112.6824243!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F11nz0vzmhc?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Kampoeng Roti - Nginden,"Jl. Raya Nginden No.119A, Nginden Jangkungan, Kec. Sukolilo, Surabaya, Jawa Timur 60284",kampoengroti.com,(031) 5914158,1263,4.5,-7.3044176,112.6182748,"https://www.google.com/maps/place/Kampoeng+Roti+-+Nginden/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fbaad1ad7373:0x98edafc29e8225f8!8m2!3d-7.3044176!4d112.7624704!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1pzs4z3_f?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
